surface,player1_name,player1_ht,player1_ioc,player1_age,player2_name,player2_ht,player2_ioc,player2_age,score,best_of,round,minutes,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1st_Serve,p1_1stWon,p1_1st_Serve_won,p1_2ndWon,p1_2nd_serve_won,p1_bpSaved,p1_bpFaced,p1_breakpoint_saved,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1st_Serve,p2_1stWon,p2_1st_Serve_won,p2_2ndWon,p2_2nd_serve_won,p2_bpSaved,p2_bpFaced,p2_breakpoint_saved,winner_name
Hard,Laslo Djere,188,SRB,27.6,Jaume Munar,183,ESP,25.6,3-6 6-1 7-6(4),3,R32,145,7,4,104,66,63.46153846,42,63.63636364,18,47.36842105,6,11,54.54545455,4,5,89,53,59.5505618,35,66.03773585,15,41.66666667,3,9,33.33333333,Laslo Djere
Hard,Constant Lestienne,180,FRA,30.6,Pedro Cachin,185,ARG,27.7,6-3 6-1,3,R32,70,7,1,41,30,73.17073171,24,80,5,45.45454545,1,2,50,1,0,53,34,64.1509434,18,52.94117647,7,36.84210526,7,12,58.33333333,Constant Lestienne
Hard,Gregoire Barrere,183,FRA,28.8,John Isner,206,USA,37.7,6-7(3) 7-6(5) 6-3,3,R32,138,10,2,101,62,61.38613861,52,83.87096774,27,69.23076923,0,0,#DIV/0!,28,2,109,73,66.97247706,53,72.60273973,21,58.33333333,2,3,66.66666667,Gregoire Barrere
Hard,Richard Gasquet,185,FRA,36.5,Kiranpal Pannu,,NZL,26,6-3 6-1,3,R32,80,5,0,35,24,68.57142857,22,91.66666667,10,90.90909091,0,0,#DIV/0!,8,4,67,42,62.68656716,25,59.52380952,9,36,4,8,50,Richard Gasquet
Hard,Christopher Eubanks,201,USA,26.6,Ugo Humbert,188,FRA,24.5,7-6(4) 7-6(3),3,R32,119,6,0,91,64,70.32967033,50,78.125,16,59.25925926,6,6,100,9,4,83,51,61.44578313,43,84.31372549,18,56.25,4,4,100,Christopher Eubanks
Hard,David Goffin,180,BEL,32,Alexander Bublik,196,KAZ,25.5,6-3 6-4,3,R32,73,1,0,53,32,60.37735849,23,71.875,10,47.61904762,4,7,57.14285714,6,6,62,35,56.4516129,21,60,8,29.62962963,0,6,0,David Goffin
Hard,Ben Shelton,,USA,20.2,Sebastian Baez,170,ARG,22,7-6(1) 6-1,3,R32,82,9,1,51,34,66.66666667,28,82.35294118,12,70.58823529,2,2,100,2,3,67,49,73.13432836,26,53.06122449,11,61.11111111,7,10,70,Ben Shelton
Hard,Quentin Halys,191,FRA,26.2,Alex Molcan,178,SVK,25.1,6-3 6-4,3,R32,53,20,0,53,34,64.1509434,32,94.11764706,9,47.36842105,1,1,100,5,5,44,28,63.63636364,21,75,10,62.5,1,3,33.33333333,Quentin Halys
Hard,Jenson Brooksby,188,USA,22.2,Fabio Fognini,178,ITA,35.6,6-7(2) 6-1 6-3,3,R32,133,6,3,95,54,56.84210526,38,70.37037037,23,56.09756098,6,8,75,4,12,93,49,52.68817204,34,69.3877551,19,43.18181818,8,14,57.14285714,Jenson Brooksby
Hard,J J Wolf,183,USA,24,Adrian Mannarino,183,FRA,34.5,6-4 7-6(4),3,R32,109,7,1,72,51,70.83333333,35,68.62745098,12,57.14285714,2,4,50,7,2,71,41,57.74647887,27,65.85365854,16,53.33333333,5,8,62.5,J J Wolf
Hard,Marcos Giron,180,USA,29.4,Federico Coria,180,ARG,30.8,6-7(5) 6-4 7-5,3,R32,157,3,1,121,86,71.07438017,49,56.97674419,20,57.14285714,5,10,50,3,4,115,69,60,43,62.31884058,17,36.95652174,7,14,50,Marcos Giron
Hard,Jiri Lehecka,185,CZE,21.1,Thiago Monteiro,183,BRA,28.6,6-3 7-5,3,R32,88,5,1,58,35,60.34482759,29,82.85714286,16,69.56521739,1,1,100,7,0,65,39,60,30,76.92307692,9,34.61538462,6,8,75,Jiri Lehecka
