name,opponent_name,winner,1st_Serve,1st_Serve_won,2nd_Serve_won,1st_Serve_Return_won,2nd_Serve_Return_won,Return_points_won
Pierre Hugues Herbert,Arthur Cazaux,TRUE,66.70%,78.80%,53.80%,25.40%,52.00%,33.30%
Taylor Harry Fritz,Max Purcell,TRUE,66.70%,70.70%,58.60%,25.00%,61.50%,39.40%
Taylor Harry Fritz,Jeffrey John Wolf,TRUE,66.70%,83.30%,57.10%,26.50%,50.00%,36.20%
Yu Hsiou Hsu,Lorenzo Musetti,TRUE,66.70%,83.30%,66.70%,34.80%,66.70%,45.70%
Frances Tiafoe,Gael Monfils,TRUE,66.30%,75.40%,61.30%,25.00%,59.50%,41.10%
Pavel Kotov,Marton Fucsovics,TRUE,66.20%,70.60%,57.70%,38.90%,44.10%,41.40%
Tomas Martin Etcheverry,Zhizhen Zhang,FALSE,66.20%,74.50%,57.70%,25.40%,46.20%,31.50%
Andy Murray,Ye Cong Mo,TRUE,66.20%,79.60%,56.00%,27.80%,57.10%,38.60%
Sebastian Korda,Francisco Cerundolo,TRUE,66.20%,81.60%,60.00%,21.60%,58.80%,30.90%
Yannick Hanfmann,Alexander Blockx,TRUE,66.20%,74.50%,66.70%,22.90%,52.40%,31.90%
Hubert Hurkacz,Alexander Bublik,TRUE,66.10%,75.60%,52.40%,33.30%,57.60%,44.40%
Maximilian Marterer,Nuno Borges,TRUE,66.10%,89.70%,55.00%,24.50%,80.00%,37.50%
Constant Lestienne,Calvin Hemery,TRUE,66.10%,81.10%,47.40%,40.00%,52.90%,45.20%
Marcos Giron,Yoshihito Nishioka,TRUE,66.10%,80.60%,54.10%,28.40%,46.80%,36.00%
Carlos Alcaraz Garfia,Hubert Hurkacz,TRUE,65.90%,68.30%,64.50%,26.50%,48.70%,34.60%
Daniil Medvedev,Ugo Humbert,TRUE,65.90%,68.50%,46.40%,44.40%,52.80%,48.10%
Christian Garin,Aleksandar Kovacevic,TRUE,65.80%,74.00%,61.50%,32.10%,43.50%,35.50%
Laslo Djere,Jeffrey John Wolf,TRUE,65.70%,71.70%,54.20%,27.60%,53.30%,40.70%
Beibit Zhukayev,Stefano Napolitano,TRUE,65.70%,81.80%,65.20%,32.80%,45.20%,37.10%
Thiago Seyboth Wild,Tallon Griekspoor,FALSE,65.60%,80.30%,46.90%,22.40%,50.00%,30.50%
Mackenzie Mcdonald,Holger Vitus Nodskov Rune,TRUE,65.50%,94.70%,60.00%,32.10%,66.70%,42.50%
Roman Safiullin,Daniel Evans,TRUE,65.50%,71.10%,55.00%,28.60%,63.60%,44.00%
Alexander Bublik,Frances Tiafoe,TRUE,65.40%,88.20%,55.60%,27.60%,50.00%,38.20%
Jurij Rodionov,Sebastian Baez,TRUE,65.40%,76.50%,61.10%,47.60%,58.30%,49.30%
Borna Gojo,Christian Garin,TRUE,65.30%,81.30%,47.10%,21.80%,60.90%,33.30%
Stefanos Tsitsipas,Rinky Hijikata,TRUE,65.30%,81.30%,52.90%,37.90%,60.70%,49.10%
Karen Khachanov,Alex Bolt,TRUE,65.30%,74.50%,56.00%,25.70%,50.00%,36.90%
Taylor Harry Fritz,Yibing Wu,TRUE,65.30%,80.90%,56.00%,29.20%,54.80%,39.20%
Luca Van Assche,Botic Van De Zandschulp,TRUE,65.30%,75.80%,57.60%,23.90%,52.60%,33.90%
Sebastian Korda,Tomas Martin Etcheverry,TRUE,65.20%,76.70%,75.00%,41.90%,68.40%,52.00%
Fabian Marozsan,Roberto Bautista Agut,TRUE,65.20%,72.40%,54.80%,30.60%,56.40%,39.60%
Gijs Brouwer,Nicolas Jarry,FALSE,65.20%,87.90%,54.80%,21.90%,43.20%,30.60%
Tallon Griekspoor,Sho Shimabukuro,TRUE,65.20%,86.20%,54.80%,24.60%,52.00%,37.40%
Botic Van De Zandschulp,Luca Van Assche,FALSE,65.10%,76.10%,47.40%,24.20%,42.40%,30.50%
Carlos Alcaraz Garfia,Tommy Paul,TRUE,65.00%,71.60%,47.20%,38.40%,56.60%,44.70%
Jan Lennard Struff,Hugo Gaston,FALSE,65.00%,76.90%,45.20%,31.10%,50.00%,38.40%
Karen Khachanov,Laslo Djere,TRUE,65.00%,76.90%,66.70%,30.00%,56.10%,41.80%
Novak Djokovic,Taylor Harry Fritz,TRUE,65.00%,80.80%,64.30%,31.80%,72.70%,52.30%
Grigor Dimitrov,Mackenzie Mcdonald,TRUE,64.90%,86.50%,60.00%,32.60%,47.40%,37.10%
David Goffin,Quentin Halys,TRUE,64.90%,91.70%,61.50%,39.50%,77.80%,51.80%
Stefanos Tsitsipas,Alexander Zverev,TRUE,64.80%,78.30%,52.00%,32.80%,57.90%,39.00%
Ugo Humbert,Marcos Giron,TRUE,64.70%,90.90%,66.70%,33.30%,44.40%,38.30%
Sebastian Ofner,Dominic Thiem,TRUE,64.60%,84.90%,55.20%,32.40%,51.40%,38.90%
Alex De Minaur,Diego Sebastian Schwartzman,TRUE,64.60%,71.00%,70.60%,41.70%,75.00%,51.50%
Ben Shelton,Jordan Thompson,TRUE,64.60%,80.60%,55.90%,29.20%,56.30%,40.00%
Emil Ruusuvuori,Benjamin Hassan,TRUE,64.60%,77.40%,64.70%,41.20%,68.40%,55.60%
Sebastian Baez,Borna Coric,TRUE,64.60%,71.00%,58.80%,36.80%,51.00%,42.70%
Ugo Humbert,Alexander Shevchenko,TRUE,64.40%,86.20%,75.00%,26.50%,57.10%,38.20%
Lorenzo Sonego,Philip Sekulic,TRUE,64.40%,81.60%,52.40%,38.90%,60.00%,45.10%
Frances Tiafoe,Aslan Karatsev,TRUE,64.40%,75.00%,64.50%,22.90%,42.50%,31.80%
Gael Monfils,Francisco Cerundolo,FALSE,64.30%,69.80%,48.60%,41.20%,42.90%,41.70%
Juncheng Shang,Ben Shelton,TRUE,64.30%,83.30%,60.00%,31.10%,53.30%,40.00%
Nicolas Jarry,Diego Sebastian Schwartzman,TRUE,64.20%,78.80%,69.00%,37.10%,42.30%,38.50%
Taylor Harry Fritz,Cameron Norrie,TRUE,64.20%,79.40%,68.40%,40.90%,60.00%,46.90%
Yoshihito Nishioka,Aleksandar Vukic,FALSE,64.20%,69.10%,63.20%,23.80%,47.70%,33.60%
Andrey Rublev,Botic Van De Zandschulp,TRUE,64.00%,87.50%,55.60%,30.60%,64.30%,40.00%
Casper Ruud,Jan Lennard Struff,TRUE,64.00%,72.90%,55.60%,36.40%,45.00%,40.50%
Sho Shimabukuro,Christian Garin,FALSE,64.00%,68.80%,50.00%,22.90%,42.90%,31.30%
Grigor Dimitrov,Lorenzo Musetti,TRUE,64.00%,81.80%,54.80%,40.00%,45.50%,41.80%
Daniel Elahi Galan Riveros,Radu Albot,TRUE,63.90%,71.80%,45.50%,44.70%,62.50%,51.60%
Sebastian Korda,Benjamin Bonzi,TRUE,63.90%,82.10%,45.50%,30.30%,77.80%,47.10%
Tallon Griekspoor,Novak Djokovic,FALSE,63.90%,77.40%,45.70%,22.70%,55.00%,34.90%
Carlos Alcaraz Garfia,Yannick Hanfmann,TRUE,63.80%,80.00%,47.10%,38.00%,65.50%,48.10%
Jordan Thompson,Dusan Lajovic,TRUE,63.80%,86.70%,82.40%,41.20%,55.60%,44.90%
Daniel Evans,Frances Tiafoe,TRUE,63.80%,75.70%,76.20%,28.60%,51.90%,36.80%
